Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Suelo_10cm_Media,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio,Localidad,mes_sin,mes_cos
2015-06-18,11.1868,15.3,5.4,14.81111,0.0,0.0,0.0,9.465661,79.0,78.0,5.984258,14.15001,1019.464,11.37186,5.311998,12.94801,Goya,1.2246467991473532e-16,-1.0
2015-06-19,7.030556,15.8,-0.1,13.23888,0.0,0.0,0.0,7.614912,77.0,72.0,2.971895,13.60001,1018.168,11.86122,9.461999,10.541,Goya,1.2246467991473532e-16,-1.0
2015-06-20,11.78611,21.5,3.5,13.8382,0.0,0.0,0.0,11.8698,80.0,75.0,9.147739,15.30001,1010.413,10.40712,6.307997,2.158,Goya,1.2246467991473532e-16,-1.0
2015-06-21,16.91181,24.0,10.2,16.52917,2.5,0.0,0.0,15.97062,85.0,79.0,13.96404,16.15001,1009.586,11.28456,0.0,-8.299998,Goya,1.2246467991473532e-16,-1.0
2015-06-22,15.72084,17.3,13.9,16.71875,21.5,24.0,4.5,17.46307,100.0,100.0,15.32038,23.56665,1011.319,1.14912,0.0,-5.063,Goya,1.2246467991473532e-16,-1.0
2015-06-23,11.9507,14.5,8.8,14.91805,0.0,0.0,0.0,11.3646,82.0,79.0,8.794107,0.0,1017.279,4.984861,0.0,8.632006,Goya,1.2246467991473532e-16,-1.0
2015-06-24,12.32153,14.3,10.8,14.5861,0.0,0.0,0.0,13.33312,91.0,94.0,11.15736,0.0,1015.036,3.38688,0.0,5.229001,Goya,1.2246467991473532e-16,-1.0
2015-06-25,17.18542,26.0,12.0,16.62014,0.0,0.0,0.0,18.12101,91.0,86.0,15.81955,9.299999,1013.079,9.338459,0.0,-9.794001,Goya,1.2246467991473532e-16,-1.0
2015-06-26,18.52222,23.7,14.8,17.66805,0.0,0.0,0.0,19.59823,90.0,89.0,17.14653,0.0,1014.11,5.468279,0.0,-16.84901,Goya,1.2246467991473532e-16,-1.0
2015-06-27,21.10764,27.6,17.8,19.1,0.0,0.0,0.0,20.23856,84.0,83.0,17.69024,0.0,1011.214,10.42962,0.0,-21.82903,Goya,1.2246467991473532e-16,-1.0
2015-06-28,19.99444,27.5,14.8,18.96388,4.5,0.0,0.0,20.67394,87.0,82.0,17.99007,0.0,1006.098,6.25674,0.0,-19.25602,Goya,1.2246467991473532e-16,-1.0
2015-06-29,18.725,21.4,14.2,18.8882,9.5,14.0,5.25,20.07958,98.0,98.0,17.47633,13.45001,1002.268,2.8365,0.0,-16.51701,Goya,1.2246467991473532e-16,-1.0
2015-06-30,16.3132,22.1,13.8,17.92292,0.0,0.0,0.0,17.33821,95.0,94.0,15.20005,14.05001,1006.417,7.963139,0.0,-7.469996,Goya,1.2246467991473532e-16,-1.0
2015-07-01,15.7375,23.5,10.3,17.12501,0.0,0.0,0.0,14.15187,83.0,78.0,12.09998,9.866667,1009.646,11.85264,0.0,-5.228998,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-02,13.65416,16.3,11.3,16.59305,0.0,0.0,0.0,15.85846,99.0,98.0,13.83369,6.466665,1005.41,2.54172,0.0,2.157999,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-03,14.37361,18.9,9.6,16.48055,0.25,0.25,0.25,12.48939,83.0,78.0,9.978078,0.0,1009.222,10.62078,0.498,1.909,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-04,8.285417,14.3,3.7,14.15834,0.0,0.0,0.0,9.01927,87.0,85.0,5.459346,0.25,1015.783,9.906359,13.61201,17.43002,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-05,8.83125,17.5,2.0,13.55555,0.0,0.0,0.0,9.982939,84.0,80.0,6.764449,8.966664,1008.45,11.72808,7.967996,10.292,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-06,13.67014,17.9,10.4,14.96944,0.0,0.0,0.0,14.32562,89.0,84.0,12.28899,0.0,1005.678,4.07286,0.0,0.747,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-07,15.86458,21.4,12.4,16.17778,0.0,0.0,0.0,15.17707,85.0,83.0,13.19421,0.0,1007.625,8.843943,0.0,-8.382999,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-08,14.80625,21.1,8.8,16.84306,0.0,0.0,0.0,14.86765,89.0,84.0,12.78557,0.0,1006.193,9.749276,0.0,-2.573,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-09,15.41181,21.6,11.0,17.07222,0.0,0.0,0.0,16.44076,95.0,92.0,14.38777,6.466665,1005.086,3.37992,0.0,-5.063,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-10,16.06597,21.3,12.0,16.84306,0.0,0.0,0.0,17.64902,94.0,91.0,15.45973,9.299998,1005.259,2.455021,0.0,-11.039,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-11,17.08542,20.1,13.2,17.44444,0.0,0.0,0.0,19.38314,98.0,100.0,16.93436,7.749997,1004.194,2.09694,0.0,-13.86101,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-12,19.49375,24.6,16.3,18.61042,0.0,0.0,0.0,22.14926,95.0,93.0,19.08501,11.2,995.4088,3.4845,0.0,-20.00302,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-13,17.72639,21.0,13.9,18.3993,0.0,0.0,0.0,18.35545,97.0,96.0,15.94563,12.4,996.3835,1.1256,0.0,-9.794003,Goya,-0.4999999999999997,-0.8660254037844388
2015-07-14,11.62292,15.4,8.7,15.675,0.0,0.0,0.0,10.2753,80.0,74.0,7.232623,0.6666667,1009.967,4.77348,0.0,10.95601,Goya,-0.4999999999999997,-0.8660254037844388
