Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_5cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_5cm_Media,Temperatura_Suelo_10cm_Media,Temperatura_Inte_5cm,Temperatura_Intemperie_150cm_Minima,Humedad_Suelo,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio,Latitud,Longitud,Localidad
2013-09-03 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,,-29.1784992218018,-59.0923004150391,Goya
2013-09-04 00:00:00.0,13.49305,23.5,5.4,,,,17.35556,,,,0.0,0.0,0.0,,,8.78381,60.0,52.0,5.065512,,,C ,,C ,,,,3.153999,0.4979999,-29.1784992218018,-59.0923004150391,Goya
2013-09-05 00:00:00.0,17.53334,28.9,9.7,,,,18.86459,,,,0.0,0.0,0.0,,,11.46247,58.0,51.0,8.8524,,,C ,,C ,,,,0.0,-9.129999,-29.1784992218018,-59.0923004150391,Goya
2013-09-06 00:00:00.0,22.60834,34.1,13.8,,,,21.49792,,,,0.0,0.0,0.0,,,17.97431,64.0,59.0,15.69974,,,C ,,C ,,,,0.0,-16.84902,-29.1784992218018,-59.0923004150391,Goya
2013-09-07 00:00:00.0,26.51389,36.3,20.3,,,,23.58055,,,,0.0,0.0,0.0,,,18.40356,55.0,49.0,16.17183,,,C ,,C ,,,,0.0,-23.90403,-29.1784992218018,-59.0923004150391,Goya
2013-09-08 00:00:00.0,26.19791,33.9,19.6,,,,24.70764,,,,0.0,0.0,0.0,,,18.76328,61.0,56.0,16.39042,,,C ,,C ,,,,0.0,-23.90403,-29.1784992218018,-59.0923004150391,Goya
2013-09-09 00:00:00.0,26.29721,36.9,19.5,,,,25.46944,,,,0.0,0.0,0.0,,,20.22538,62.0,54.0,17.63553,,,C ,,C ,,,,0.0,-23.90403,-29.1784992218018,-59.0923004150391,Goya
2013-09-10 00:00:00.0,28.69862,38.2,21.3,,,,26.3125,,,,0.0,0.0,0.0,,,18.40757,50.0,42.0,16.17402,,,C ,,C ,,,,0.0,-23.90403,-29.1784992218018,-59.0923004150391,Goya
2013-09-11 00:00:00.0,29.20347,38.6,21.5,,,,26.68542,,,,0.0,0.0,0.0,,,16.33662,43.0,36.0,14.30698,,,C ,,C ,,,,0.0,-23.90403,-29.1784992218018,-59.0923004150391,Goya
2013-09-12 00:00:00.0,29.56875,39.6,22.7,,,,27.03264,,,,0.0,0.0,0.0,,,16.87103,46.0,44.0,14.78664,,,C ,,C ,,,,0.0,-23.90403,-29.1784992218018,-59.0923004150391,Goya
2013-09-13 00:00:00.0,16.91041,23.7,13.1,,,,22.1257,,,,0.0,0.0,0.0,,,15.77882,89.0,92.0,13.7947,,,C ,,C ,,,,0.0,-7.221005,-29.1784992218018,-59.0923004150391,Goya
2013-09-14 00:00:00.0,12.50763,13.7,11.6,,,,15.77708,,,,0.0,0.0,0.0,,,14.20808,99.0,99.0,12.19529,,,C ,,C ,,,,0.0,8.715008,-29.1784992218018,-59.0923004150391,Goya
2013-09-15 00:00:00.0,12.37708,15.1,11.0,,,,15.12917,,,,0.0,0.0,0.0,,,13.4472,94.0,92.0,11.36351,,,C ,,C ,,,,0.0,7.138005,-29.1784992218018,-59.0923004150391,Goya
2013-09-16 00:00:00.0,11.97222,15.4,10.8,,,,14.97222,,,,0.0,0.0,0.0,,,12.68166,92.0,92.0,10.47128,,,C ,,C ,,,,0.0,9.047009,-29.1784992218018,-59.0923004150391,Goya
2013-09-17 00:00:00.0,11.2257,16.3,7.6,,,,14.6382,,,,0.0,0.0,0.0,,,8.976781,73.0,69.0,5.340007,,,C ,,C ,,,,2.656,11.28801,-29.1784992218018,-59.0923004150391,Goya
2013-09-18 00:00:00.0,11.53819,21.4,4.3,,,,15.59097,,,,0.0,0.0,0.0,,,7.681952,62.0,50.0,3.005479,,,C ,,C ,,,,6.639997,3.900996,-29.1784992218018,-59.0923004150391,Goya
2013-09-19 00:00:00.0,13.72667,,,,,,17.15,,,,,,,,,8.621439,61.0,,4.700618,,,C ,,C ,,,,,-0.2490015,-29.1784992218018,-59.0923004150391,Goya
2013-09-20 00:00:00.0,16.81736,28.9,7.8,,,,18.36389,,,,0.0,0.0,0.0,,,10.50638,58.0,50.0,7.622515,,,C ,,C ,,,,0.0,-6.806001,-29.1784992218018,-59.0923004150391,Goya
