,min,25%,50%,mean,75%,max,IQR,Moda,std
Temperatura_Abrigo_150cm,3.41,17.32,21.97,21.29,25.57,42.96,8.25,24.91,5.63
Temperatura_Abrigo_150cm_Maxima,9.5,23.6,28.5,27.97,32.7,60.0,9.1,29.7,6.38
Temperatura_Abrigo_150cm_Minima,-28.1,12.1,16.7,15.91,20.3,43.3,8.2,19.8,5.77
Temperatura_Suelo_10cm_Media,-6.8,19.12,23.94,23.7,27.9,50.0,8.78,27.58,5.89
Precipitacion_Pluviometrica,0.0,0.0,0.0,3.16,0.2,169.0,0.2,0.0,11.49
Precipitacion_Cronologica,0.0,0.0,0.0,3.17,0.0,220.0,0.0,0.0,11.94
Precipitacion_Maxima_30minutos,0.0,0.0,0.0,1.25,0.0,58.2,0.0,0.0,4.47
Tesion_Vapor_Media,0.01,14.41,19.22,19.45,24.27,73.2,9.86,11.67,6.9
Humedad_Media,0.0,65.0,77.0,74.63,87.0,100.0,22.0,100.0,17.65
Humedad_Media_8_14_20,3.0,62.0,75.0,73.26,86.0,100.0,24.0,100.0,17.23
Rocio_Medio,-7.96,12.83,17.07,16.49,20.72,34.39,7.89,10.56,5.62
Duracion_Follaje_Mojado,0.0,0.0,1.08,3.57,6.77,24.0,6.77,0.0,4.58
Presion_Media,986.28,1000.38,1004.11,1004.73,1008.71,1033.71,8.33,1004.44,6.12
Radiacion_Global,0.02,9.59,15.17,15.51,22.14,32.27,12.55,4.24,7.86
Horas_Frio,0.0,0.0,0.0,0.54,0.0,18.92,0.0,0.0,2.09
Unidades_Frio,-23.9,-23.9,-21.33,-15.87,-10.54,19.51,13.36,-23.9,10.7
